,crop,azl,lbg,twi,nfk,area_iacs,SMI_magnitude,lst,ndvi,year,lstndvi,lstndvi_anom,SPEI_magnitude
106,triticale,22.9,5.0,16.35,118.53,2.26,0.0,301.64,0.8,2013,377.85,-0.13,-0.77
107,triticale,36.3,2.0,9.01,105.81,2.87,0.0,301.71,0.65,2013,465.95,0.07,-0.9
108,triticale,33.9,3.0,8.44,116.46,1.28,0.0,300.52,0.81,2013,372.59,-0.14,-0.76
109,triticale,19.11,5.0,14.52,103.8,0.35,0.0,304.83,0.53,2013,575.52,0.32,-0.81
110,winter_canola,50.72,1.0,11.92,151.55,73.73,0.0,296.6,0.75,2013,395.82,-0.02,-0.9
111,winter_canola,52.95,1.0,18.64,150.11,1.7,0.0,297.29,0.81,2013,366.99,-0.09,-0.97
112,winter_canola,30.32,3.0,11.16,116.56,37.34,0.0,297.91,0.78,2013,380.63,-0.06,-0.76
113,winter_canola,27.52,4.0,15.17,102.3,32.35,0.0,297.58,0.73,2013,407.76,0.01,-1.0
114,winter_canola,26.67,4.0,9.51,115.44,9.31,0.0,296.96,0.76,2013,390.75,-0.03,-0.79
115,winter_canola,35.45,2.0,12.91,115.15,4.39,0.0,296.26,0.73,2013,403.81,0.0,-0.93
116,winter_canola,27.39,4.0,10.99,116.56,6.8,0.0,299.03,0.8,2013,371.57,-0.08,-0.88
117,grain_maize,29.02,3.0,12.1,116.56,0.49,0.0,302.5,0.43,2013,697.61,-0.16,-0.88
118,winter_wheat,30.48,3.0,11.49,116.56,27.93,0.0,298.82,0.78,2013,383.77,-0.01,-0.88
119,winter_wheat,43.64,2.0,13.46,151.55,12.22,0.0,297.11,0.88,2013,338.81,-0.12,-0.97
120,winter_wheat,41.25,2.0,9.24,116.42,1.86,0.0,298.78,0.83,2013,359.99,-0.07,-0.76
121,winter_wheat,45.3,1.0,15.15,151.55,5.05,0.0,298.6,0.76,2013,390.45,0.01,-1.05
122,winter_wheat,40.71,2.0,8.74,126.43,2.05,0.0,298.0,0.81,2013,366.7,-0.05,-0.93
123,winter_barley,16.76,5.0,9.51,199.95,7.36,0.0,298.53,0.79,2013,378.91,-0.12,-1.03
124,winter_barley,30.81,3.0,14.16,100.28,4.98,0.0,299.08,0.8,2013,373.17,-0.14,-0.76
125,lupines,42.72,2.0,10.39,150.9,23.89,0.0,300.69,0.53,2013,569.02,0.05,-0.9
126,lupines,26.08,4.0,8.63,151.55,12.54,0.0,300.69,0.65,2013,463.68,-0.14,-0.88
127,lupines,31.0,3.0,15.87,150.23,1.05,0.0,300.18,0.63,2013,480.01,-0.11,-1.0
128,lupines,18.93,5.0,12.88,93.72,2.99,0.0,303.87,0.38,2013,805.01,0.49,-0.81
129,sunflower,26.96,4.0,9.59,116.56,8.87,0.0,309.72,0.23,2013,1330.19,0.84,-0.9
130,sunflower,26.61,4.0,12.52,109.16,6.2,0.0,305.16,0.29,2013,1047.67,0.45,-0.9
131,sunflower,17.48,5.0,17.75,217.92,1.18,0.0,304.79,0.55,2013,551.63,-0.24,-0.89
132,sunflower,34.37,3.0,13.24,151.55,1.13,0.0,301.5,0.43,2013,704.36,-0.02,-0.93
133,oat,15.76,5.0,8.8,114.43,0.91,0.0,305.94,0.46,2013,667.26,0.33,-0.78
134,oat,23.3,4.0,11.41,96.11,1.5,0.0,303.35,0.61,2013,498.42,-0.01,-0.77
135,triticale,22.0,5.0,11.59,134.46,9.18,0.0,306.64,0.41,2013,753.31,0.73,-0.96
136,rye,19.86,5.0,13.9,104.34,4.7,0.0,303.38,0.56,2013,537.65,0.17,-0.84
137,rye,26.9,4.0,12.23,113.51,4.27,0.0,302.86,0.51,2013,593.58,0.29,-0.78
138,peas,24.38,4.0,9.15,99.64,3.85,0.0,303.1,0.7,2013,430.74,-0.17,-0.79
139,rye,26.49,4.0,11.49,114.53,3.37,0.0,297.53,0.68,2013,434.61,-0.06,-0.79
140,rye,23.73,4.0,12.9,121.16,3.04,0.0,295.64,0.85,2013,345.89,-0.25,-0.98
141,rye,27.59,4.0,12.15,197.59,4.02,0.0,298.47,0.79,2013,378.9,-0.18,-0.84
142,rye,25.81,4.0,18.88,126.04,8.0,0.0,298.14,0.85,2013,352.45,-0.23,-0.91
143,rye,,,15.36,,0.71,0.0,305.62,0.63,2013,484.45,0.05,-0.91
144,rye,27.86,4.0,12.32,219.78,2.17,0.0,298.38,0.79,2013,377.65,-0.18,-0.79
145,rye,32.11,3.0,14.06,99.64,13.37,0.0,298.11,0.74,2013,403.33,-0.12,-1.15
146,rye,25.25,4.0,15.2,121.16,1.23,0.0,297.65,0.8,2013,373.32,-0.19,-0.98
147,rye,15.73,5.0,9.84,120.28,4.45,0.0,298.34,0.85,2013,349.68,-0.24,-0.64
148,rye,20.96,5.0,12.47,102.5,2.08,0.0,298.77,0.66,2013,454.19,-0.01,-0.56
149,rye,25.93,4.0,11.16,119.54,11.3,0.0,295.72,0.84,2013,352.24,-0.24,-0.92
150,rye,35.0,2.0,16.99,99.64,1.12,0.0,301.84,0.6,2013,504.35,0.1,-1.15
151,rye,38.88,2.0,10.35,154.91,6.78,0.0,298.15,0.74,2013,402.81,-0.13,-0.64
152,rye,35.12,2.0,14.97,219.78,3.85,0.0,299.81,0.67,2013,445.23,-0.03,-0.64
153,rye,26.67,4.0,12.56,219.78,2.31,0.0,299.05,0.67,2013,446.49,-0.03,-0.64
154,rye,25.01,4.0,12.04,162.61,29.19,0.0,296.38,0.86,2013,345.08,-0.25,-0.96
155,rye,25.39,4.0,10.96,119.89,4.3,0.0,298.73,0.75,2013,397.47,-0.14,-0.91
156,rye,26.47,4.0,9.49,115.15,1.98,0.0,300.12,0.78,2013,384.65,-0.16,-0.96
157,rye,32.59,3.0,13.83,99.64,0.93,0.0,296.5,0.85,2013,346.94,-0.25,-1.15
